
2024/10/13 (12:28:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/13 (23:15:30) | ===> btop++ v.1.4.0
2024/10/13 (23:15:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/13 (23:15:40) | ===> btop++ v.1.4.0
2024/10/13 (23:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/13 (23:16:22) | ===> btop++ v.1.4.0
2024/10/13 (23:16:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/13 (23:16:26) | ===> btop++ v.1.4.0
2024/10/13 (23:16:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (12:34:58) | ===> btop++ v.1.4.0
2024/10/14 (12:34:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/14 (12:35:26) | ===> btop++ v.1.4.0
2024/10/14 (12:35:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/21 (12:44:47) | ===> btop++ v.1.4.0
2024/10/21 (12:44:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/22 (18:46:20) | ===> btop++ v.1.4.0
2024/10/22 (18:46:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (14:42:51) | ===> btop++ v.1.4.0
2024/10/24 (14:42:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/27 (11:08:23) | ===> btop++ v.1.4.0
2024/10/27 (11:08:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/28 (12:32:20) | ===> btop++ v.1.4.0
2024/10/28 (12:32:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/30 (23:33:00) | ===> btop++ v.1.4.0
2024/10/30 (23:33:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (10:07:57) | ===> btop++ v.1.4.0
2024/11/17 (10:07:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/17 (10:35:11) | ===> btop++ v.1.4.0
2024/11/17 (10:35:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/18 (21:41:38) | ===> btop++ v.1.4.0
2024/11/18 (21:41:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/19 (14:48:22) | ===> btop++ v.1.4.0
2024/11/19 (14:48:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (14:54:05) | ===> btop++ v.1.4.0
2024/11/23 (14:54:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (17:33:49) | ===> btop++ v.1.4.0
2024/11/23 (17:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (17:34:42) | ===> btop++ v.1.4.0
2024/11/23 (17:34:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

